127.0.0.1 - - [07/Aug/2017:14:51:09 -0700] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [07/Aug/2017:14:51:12 -0700] "GET /jiaqi/productControllerServlet HTTP/1.1" 200 128366
0:0:0:0:0:0:0:1 - - [07/Aug/2017:14:51:12 -0700] "GET /jiaqi/imagesproduct/2.jpg;jsessionid=6F185ED1E339FC5E8A7CB6F4E1793BEB HTTP/1.1" 200 101966
0:0:0:0:0:0:0:1 - - [07/Aug/2017:14:51:12 -0700] "GET /jiaqi/imagesproduct/6.jpg;jsessionid=6F185ED1E339FC5E8A7CB6F4E1793BEB HTTP/1.1" 200 131189
0:0:0:0:0:0:0:1 - - [07/Aug/2017:14:51:12 -0700] "GET /jiaqi/imagesproduct/1.jpg;jsessionid=6F185ED1E339FC5E8A7CB6F4E1793BEB HTTP/1.1" 200 110698
0:0:0:0:0:0:0:1 - - [07/Aug/2017:14:51:12 -0700] "GET /jiaqi/imagesproduct/3.jpg;jsessionid=6F185ED1E339FC5E8A7CB6F4E1793BEB HTTP/1.1" 200 129991
0:0:0:0:0:0:0:1 - - [07/Aug/2017:14:51:12 -0700] "GET /jiaqi/imagesproduct/8.jpg;jsessionid=6F185ED1E339FC5E8A7CB6F4E1793BEB HTTP/1.1" 200 103512
0:0:0:0:0:0:0:1 - - [07/Aug/2017:14:51:17 -0700] "GET /jiaqi/productControllerServlet HTTP/1.1" 200 128366
0:0:0:0:0:0:0:1 - - [07/Aug/2017:14:51:17 -0700] "GET /jiaqi/imagesproduct/6.jpg;jsessionid=AB488F3F90E3052A8D75ECE9E3C3AF1B HTTP/1.1" 200 131189
0:0:0:0:0:0:0:1 - - [07/Aug/2017:14:51:17 -0700] "GET /jiaqi/imagesproduct/2.jpg;jsessionid=AB488F3F90E3052A8D75ECE9E3C3AF1B HTTP/1.1" 200 101966
0:0:0:0:0:0:0:1 - - [07/Aug/2017:14:51:17 -0700] "GET /jiaqi/imagesproduct/3.jpg;jsessionid=AB488F3F90E3052A8D75ECE9E3C3AF1B HTTP/1.1" 200 129991
0:0:0:0:0:0:0:1 - - [07/Aug/2017:14:51:17 -0700] "GET /jiaqi/imagesproduct/1.jpg;jsessionid=AB488F3F90E3052A8D75ECE9E3C3AF1B HTTP/1.1" 200 110698
0:0:0:0:0:0:0:1 - - [07/Aug/2017:14:51:17 -0700] "GET /jiaqi/imagesproduct/8.jpg;jsessionid=AB488F3F90E3052A8D75ECE9E3C3AF1B HTTP/1.1" 200 103512
0:0:0:0:0:0:0:1 - - [07/Aug/2017:14:51:17 -0700] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [07/Aug/2017:14:55:30 -0700] "GET /jiaqi/productControllerServlet HTTP/1.1" 200 127706
0:0:0:0:0:0:0:1 - - [07/Aug/2017:14:55:30 -0700] "GET /jiaqi/imagesproduct/6.jpg HTTP/1.1" 200 131189
0:0:0:0:0:0:0:1 - - [07/Aug/2017:14:55:30 -0700] "GET /jiaqi/imagesproduct/2.jpg HTTP/1.1" 200 101966
0:0:0:0:0:0:0:1 - - [07/Aug/2017:14:55:30 -0700] "GET /jiaqi/imagesproduct/8.jpg HTTP/1.1" 200 103512
0:0:0:0:0:0:0:1 - - [07/Aug/2017:14:55:30 -0700] "GET /jiaqi/imagesproduct/3.jpg HTTP/1.1" 200 129991
0:0:0:0:0:0:0:1 - - [07/Aug/2017:14:55:30 -0700] "GET /jiaqi/imagesproduct/1.jpg HTTP/1.1" 200 110698
0:0:0:0:0:0:0:1 - - [07/Aug/2017:14:55:38 -0700] "GET /jiaqi/home.jsp HTTP/1.1" 200 25850
0:0:0:0:0:0:0:1 - - [07/Aug/2017:14:55:38 -0700] "GET /jiaqi/css/timber.css HTTP/1.1" 200 77662
0:0:0:0:0:0:0:1 - - [07/Aug/2017:14:55:38 -0700] "GET /jiaqi/main.css HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [07/Aug/2017:14:55:38 -0700] "GET /jiaqi/css/ajaxify.scss.css HTTP/1.1" 200 17093
0:0:0:0:0:0:0:1 - - [07/Aug/2017:14:55:38 -0700] "GET /jiaqi/js/modernizr.min.js HTTP/1.1" 200 3859
0:0:0:0:0:0:0:1 - - [07/Aug/2017:14:55:42 -0700] "GET /collections/all HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [07/Aug/2017:14:58:24 -0700] "GET /jiaqi/productControllerServlet HTTP/1.1" 200 127712
0:0:0:0:0:0:0:1 - - [07/Aug/2017:14:58:26 -0700] "GET /jiaqi/displayServlet HTTP/1.1" 200 31166
0:0:0:0:0:0:0:1 - - [07/Aug/2017:14:58:26 -0700] "GET /jiaqi/main.css HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [07/Aug/2017:15:00:07 -0700] "GET /products/perfumeoil-garden HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [07/Aug/2017:15:02:12 -0700] "GET /products/perfumeoil-garden HTTP/1.1" 404 1099
